Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,586.9140625
FDC48,OUT027,2769.9140625
FDA36,OUT017,3102.9140625
FDM24,OUT049,2507.9140625
FDD48,OUT010,-62.0859375
FDW12,OUT035,2396.9140625
FDC37,OUT027,3188.9140625
FDZ36,OUT045,3006.9140625
FDK60,OUT017,1714.9140625
FDG12,OUT046,2070.9140625
FDX24,OUT013,1526.9140625
FDS60,OUT027,4286.9140625
FDC60,OUT049,1499.9140625
FDA48,OUT018,3196.9140625
FDZ36,OUT027,4435.9140625
FDW23,OUT018,386.9140625
FDW60,OUT018,2604.9140625
FDY59,OUT010,-375.0859375
FDR60,OUT049,1280.9140625
FDV24,OUT013,2432.9140625
FDZ48,OUT010,-140.0859375
FDS24,OUT027,2898.9140625
FDS48,OUT045,2408.9140625
FDM60,OUT010,-1192.0859375
FDV24,OUT017,2526.9140625
FDS12,OUT027,3459.9140625
FDP12,OUT027,2107.9140625
FDV24,OUT046,2464.9140625
FDW36,OUT017,1793.9140625
FDA36,OUT018,2705.9140625
FDU48,OUT045,2108.9140625
FDH12,OUT035,1725.9140625
FDI12,OUT013,1441.9140625
FDY24,OUT019,-1033.0859375
FDY24,OUT017,1058.9140625
FDQ12,OUT010,1722.9140625
FDS48,OUT017,2528.9140625
FDU24,OUT045,1550.9140625
FDG12,OUT035,2003.9140625
FDZ59,OUT046,2713.9140625
FDQ60,OUT045,1954.9140625
FDV12,OUT049,1688.9140625
FDM24,OUT018,2158.9140625
FDQ24,OUT049,4002.9140625
FDA48,OUT049,3560.9140625
FDN60,OUT049,2542.9140625
FDP60,OUT018,1325.9140625
FDY24,OUT045,957.9140625
FDW12,OUT019,422.9140625
FDX48,OUT027,3952.9140625
FDR36,OUT046,766.9140625
FDX12,OUT018,3574.9140625
FDN24,OUT049,919.9140625
FDB60,OUT045,3132.9140625
FDR12,OUT049,2842.9140625
FDW60,OUT049,2914.9140625
FDJ36,OUT017,1782.9140625
FDW36,OUT046,1772.9140625
FDP12,OUT018,389.9140625
FDU60,OUT018,2412.9140625
FDT36,OUT035,643.9140625
FDD36,OUT035,1925.9140625
FDR24,OUT049,1524.9140625
FDE36,OUT019,716.9140625
FDI24,OUT017,2889.9140625
FDA11,OUT019,-401.0859375
FDU48,OUT018,1825.9140625
FDY12,OUT045,876.9140625
FDU60,OUT017,2832.9140625
FDH12,OUT013,1727.9140625
FDR24,OUT018,1234.9140625
FDW24,OUT017,958.9140625
FDU24,OUT035,1594.9140625
FDW36,OUT018,1398.9140625
