Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,711.0628208695654
FDC48,OUT027,2517.882088484848
FDA36,OUT017,2778.9892779999996
FDM24,OUT049,2490.526886705202
FDD48,OUT010,281.4820818181818
FDW12,OUT035,2490.526886705202
FDC37,OUT027,2517.882088484848
FDZ36,OUT045,3387.2047231707297
FDK60,OUT017,1559.342975268818
FDG12,OUT046,2282.978881481481
FDX24,OUT013,1498.2394086206893
FDS60,OUT027,5329.314724444443
FDC60,OUT049,1335.1786749999997
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444443
FDW23,OUT018,507.04640366972467
FDW60,OUT018,2888.4910101123596
FDY59,OUT010,219.21852093023253
FDR60,OUT049,1335.1786749999997
FDV24,OUT013,2490.526886705202
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.882088484848
FDS48,OUT045,2660.950403030303
FDM60,OUT010,92.67548155339804
FDV24,OUT017,2490.526886705202
FDS12,OUT027,3242.062071532848
FDP12,OUT027,1378.263185276074
FDV24,OUT046,2490.526886705202
FDW36,OUT017,1548.6861522123897
FDA36,OUT018,2778.9892779999996
FDU48,OUT045,1864.5118683333321
FDH12,OUT035,1548.6861522123897
FDI12,OUT013,1441.411082758621
FDY24,OUT019,165.9185816513762
FDY24,OUT017,795.2466764227643
FDQ12,OUT010,584.7577647727273
FDS48,OUT017,2660.950403030303
FDU24,OUT045,1335.1786749999997
FDG12,OUT035,1800.1922229508198
FDZ59,OUT046,2611.459542342342
FDQ60,OUT045,1800.1922229508198
FDV12,OUT049,1559.342975268818
FDM24,OUT018,2232.8470218487396
FDQ24,OUT049,4027.3409750000005
FDA48,OUT049,3731.42033502538
FDN60,OUT049,2894.2207107142867
FDP60,OUT018,1372.688490740741
FDY24,OUT045,933.6314425287359
FDW12,OUT019,346.89728372093043
FDX48,OUT027,4117.3177126315795
FDR36,OUT046,677.1027476190477
FDX12,OUT018,3327.952582926828
FDN24,OUT049,933.6314425287359
FDB60,OUT045,2793.8219167785237
FDR12,OUT049,3104.1898299065424
FDW60,OUT049,2551.843596747969
FDJ36,OUT017,1784.4287381818185
FDW36,OUT046,1548.6861522123897
FDP12,OUT018,507.04640366972467
FDU60,OUT018,2232.8470218487396
FDT36,OUT035,583.8145788617882
FDD36,OUT035,1800.1922229508198
FDR24,OUT049,1335.1786749999997
FDE36,OUT019,425.93559145299173
FDI24,OUT017,2888.4910101123596
FDA11,OUT019,219.21852093023253
